state,state_abbr,occ_code,occ_title,total_emp,mean_salary,median_salary
Hawaii,HI,15-1242,Database Administrators,110,90300,90500
Idaho,ID,15-1242,Database Administrators,210,83500,75590
Illinois,IL,15-1242,Database Administrators,3370,108650,96560
Indiana,IN,15-1242,Database Administrators,1280,76130,75980
Iowa,IA,15-1242,Database Administrators,410,93890,90090
Kansas,KS,15-1242,Database Administrators,1070,117660,133200
Kentucky,KY,15-1242,Database Administrators,690,83570,78810
Louisiana,LA,15-1242,Database Administrators,360,91760,93100
Maine,ME,15-1242,Database Administrators,240,97060,95320
Maryland,MD,15-1242,Database Administrators,1790,117750,113810
Massachusetts,MA,15-1242,Database Administrators,2220,117870,121520
Michigan,MI,15-1242,Database Administrators,1460,92980,97760
Minnesota,MN,15-1242,Database Administrators,1140,101260,96940
Mississippi,MS,15-1242,Database Administrators,200,82270,79580
Missouri,MO,15-1242,Database Administrators,1640,90660,81630
Montana,MT,15-1242,Database Administrators,270,83750,80480
Nebraska,NE,15-1242,Database Administrators,570,87940,85140
Nevada,NV,15-1242,Database Administrators,560,86080,81850
New Hampshire,NH,15-1242,Database Administrators,290,103610,103580
New Jersey,NJ,15-1242,Database Administrators,2080,122460,119450
New Mexico,NM,15-1242,Database Administrators,580,96950,90610
New York,NY,15-1242,Database Administrators,4390,104230,98110
North Carolina,NC,15-1242,Database Administrators,2480,104480,104990
North Dakota,ND,15-1242,Database Administrators,120,82660,74350
Ohio,OH,15-1242,Database Administrators,1930,94860,94510
Oklahoma,OK,15-1242,Database Administrators,780,85550,76720
Oregon,OR,15-1242,Database Administrators,910,103070,98480
Pennsylvania,PA,15-1242,Database Administrators,2820,100160,97100
Rhode Island,RI,15-1242,Database Administrators,280,107670,110540
South Carolina,SC,15-1242,Database Administrators,790,101420,95680
South Dakota,SD,15-1242,Database Administrators,150,83290,84300
Tennessee,TN,15-1242,Database Administrators,1650,104490,107600
Texas,TX,15-1242,Database Administrators,6900,100490,102010
Utah,UT,15-1242,Database Administrators,650,97700,92680
Vermont,VT,15-1242,Database Administrators,120,99430,100120
Virginia,VA,15-1242,Database Administrators,4780,109790,102630
Washington,WA,15-1242,Database Administrators,2050,116710,109490
West Virginia,WV,15-1242,Database Administrators,230,74570,64830
Wisconsin,WI,15-1242,Database Administrators,1110,95840,91520
Wyoming,WY,15-1242,Database Administrators,120,82620,79430
Alabama,AL,15-1243,Database Architects,310,114400,114000
Alaska,AK,15-1243,Database Architects,50,125650,119440
Arizona,AZ,15-1243,Database Architects,1040,121080,122620
Arkansas,AR,15-1243,Database Architects,290,96180,98280
California,CA,15-1243,Database Architects,6120,162660,162250
Colorado,CO,15-1243,Database Architects,2180,141890,134780
Connecticut,CT,15-1243,Database Architects,650,140610,143540
Delaware,DE,15-1243,Database Architects,70,153570,148320
District of Columbia,DC,15-1243,Database Architects,560,162980,164720
Florida,FL,15-1243,Database Architects,1860,122790,123960
Georgia,GA,15-1243,Database Architects,2790,147250,155210
Hawaii,HI,15-1243,Database Architects,50,137690,133040
Idaho,ID,15-1243,Database Architects,290,133130,133590
Illinois,IL,15-1243,Database Architects,1500,124240,128990
Indiana,IN,15-1243,Database Architects,700,93180,84020
Iowa,IA,15-1243,Database Architects,400,130660,132330
Kansas,KS,15-1243,Database Architects,440,161820,154090
Kentucky,KY,15-1243,Database Architects,690,99270,88930
Louisiana,LA,15-1243,Database Architects,110,103870,103600
Maine,ME,15-1243,Database Architects,100,118990,120790
Maryland,MD,15-1243,Database Architects,710,150590,139510
Massachusetts,MA,15-1243,Database Architects,1650,152850,152030
Michigan,MI,15-1243,Database Architects,1290,114390,122700
Minnesota,MN,15-1243,Database Architects,790,128380,130350
Mississippi,MS,15-1243,Database Architects,**,79750,71950
Missouri,MO,15-1243,Database Architects,1930,106560,102810
Montana,MT,15-1243,Database Architects,50,117220,112580
Nebraska,NE,15-1243,Database Architects,700,130230,129110
Nevada,NV,15-1243,Database Architects,300,130500,125180
New Hampshire,NH,15-1243,Database Architects,250,123150,124430
New Jersey,NJ,15-1243,Database Architects,1290,158930,162410
New Mexico,NM,15-1243,Database Architects,180,118590,126000
New York,NY,15-1243,Database Architects,3780,144140,142230
North Carolina,NC,15-1243,Database Architects,3330,122460,125860
North Dakota,ND,15-1243,Database Architects,60,106250,103730
Ohio,OH,15-1243,Database Architects,1880,121620,127230
Oklahoma,OK,15-1243,Database Architects,420,119940,111070
Oregon,OR,15-1243,Database Architects,540,132460,134980
Pennsylvania,PA,15-1243,Database Architects,2290,121960,125790
Rhode Island,RI,15-1243,Database Architects,100,118510,116980
South Carolina,SC,15-1243,Database Architects,850,126340,130020
South Dakota,SD,15-1243,Database Architects,50,116210,113410
Tennessee,TN,15-1243,Database Architects,560,119530,120000
Texas,TX,15-1243,Database Architects,5900,139570,138090
Utah,UT,15-1243,Database Architects,2090,145400,149200
Vermont,VT,15-1243,Database Architects,70,152540,129950
Virginia,VA,15-1243,Database Architects,4680,143300,138300
Washington,WA,15-1243,Database Architects,3080,154430,144910
West Virginia,WV,15-1243,Database Architects,90,103550,72260
Wisconsin,WI,15-1243,Database Architects,410,130180,134020
